chromosome	start	end	length
Pa1	1	482	481
Pa1	483	2651	2168
Pa1	4989	5464	475
Pa1	6309	6846	537
Pa1	8496	8534	38
Pa1	10309	10952	643
Pa1	10953	11489	536
Pa1	11426	11533	107
Pa1	11508	11585	77
Pa1	11586	16675	5089
Pa1	16676	17759	1083
Pa1	19178	20967	1789
Pa1	20956	21526	570
Pa1	21192	21798	606
Pa1	23606	23872	266
Pa1	24254	24275	21
Pa1	26041	26737	696
Pa1	27064	27505	441
Pa1	27506	32595	5089
Pa1	32596	32886	290
Pa1	35873	35922	49
Pa1	39081	39109	28
Pa1	41407	42130	723
Pa1	42179	42901	722
Pa1	42902	43141	239
Pa1	44547	44611	64
Pa1	44921	44962	41
Pa1	45489	46549	1060
Pa1	46548	46605	57
Pa1	46607	46850	243
Pa1	46849	48686	1837
Pa1	48689	48722	33
Pa1	49048	49146	98
Pa1	50787	51782	995
Pa1	52874	53408	534
Pa1	53487	54788	1301
Pa1	54933	56797	1864
Pa1	58024	59467	1443
Pa1	64737	65888	1151
Pa1	65889	66362	473
Pa1	66363	68112	1749
Pa1	68118	68193	75
Pa1	68203	68245	42
Pa1	68232	68460	228
Pa1	68459	68754	295
Pa1	68749	68871	122
Pa1	68767	69593	826
Pa1	69704	70159	455
Pa1	72168	73353	1185
Pa1	74706	76078	1372
Pa1	76252	76307	55
Pa1	76913	78213	1300
Pa1	79121	80302	1181
Pa1	80479	80543	64
Pa1	81264	82533	1269
Pa1	82616	82674	58
Pa1	83529	84727	1198
Pa1	84884	84936	52
Pa1	85670	85707	37
Pa1	85737	85935	198
Pa1	86569	86858	289
Pa1	87446	87519	73
Pa1	88615	88657	42
Pa1	92392	92830	438
Pa1	92829	92967	138
Pa1	92967	93689	722
Pa1	93690	93787	97
Pa1	93701	94876	1175
Pa1	94864	95808	944
Pa1	95961	95982	21
Pa1	96636	101411	4775
Pa1	101784	106608	4824
Pa1	106968	107120	152
Pa1	107196	107239	43
Pa1	110590	110839	249
Pa1	110903	111149	246
Pa1	111488	111859	371
Pa1	111860	112457	597
Pa1	112521	112767	246
Pa1	112770	113180	410
Pa1	122059	122081	22
Pa1	122082	122127	45
Pa1	124719	126953	2234
Pa1	126948	127053	105
Pa1	132577	132804	227
Pa1	132804	133037	233
Pa1	133037	133511	474
Pa1	133510	134583	1073
Pa1	134580	134826	246
Pa1	134890	135487	597
Pa1	135487	136291	804
Pa1	136289	143685	7396
Pa1	143582	143913	331
Pa1	143809	143931	122
Pa1	143921	146511	2590
Pa1	146340	147453	1113
Pa1	147450	147490	40
Pa1	147465	147558	93
Pa1	147510	147575	65
Pa1	148955	149172	217
Pa1	149398	149493	95
Pa1	149548	152169	2621
Pa1	152170	152226	56
Pa1	152164	152271	107
Pa1	152246	152286	40
Pa1	152283	153396	1113
Pa1	153225	155815	2590
Pa1	155805	155927	122
Pa1	155823	156154	331
Pa1	156051	163456	7405
Pa1	172938	174092	1154
Pa1	180566	180929	363
Pa1	181069	181262	193
Pa1	181785	181975	190
Pa1	182042	182307	265
Pa1	182522	182767	245
Pa1	183217	183483	266
Pa1	184292	184315	23
Pa1	187059	187229	170
Pa1	187983	188586	603
Pa1	188562	188591	29
Pa1	188595	191510	2915
Pa1	195216	195591	375
Pa1	195841	196214	373
Pa1	197416	197989	573
Pa1	197990	198077	87
Pa1	198539	198665	126
Pa1	199127	199253	126
Pa1	199715	199841	126
Pa1	200303	200429	126
Pa1	200891	201017	126
Pa1	201481	201607	126
Pa1	202071	202197	126
Pa1	202661	202787	126
Pa1	203251	203377	126
Pa1	203839	203965	126
Pa1	204427	204553	126
Pa1	205015	205141	126
Pa1	205605	205731	126
Pa1	206193	206319	126
Pa1	206781	206907	126
Pa1	207369	207495	126
Pa1	207957	208083	126
Pa1	208545	208671	126
Pa1	209135	209261	126
Pa1	209725	209851	126
Pa1	210313	210439	126
Pa1	210903	211029	126
Pa1	211491	211617	126
Pa1	212081	212207	126
Pa1	212671	212797	126
Pa1	213261	213387	126
Pa1	213851	213977	126
Pa1	214439	214565	126
Pa1	215027	215153	126
Pa1	215615	215741	126
Pa1	216205	216331	126
Pa1	216793	216919	126
Pa1	217381	217507	126
Pa1	217969	218095	126
Pa1	218557	218683	126
Pa1	219145	219271	126
Pa1	219733	219859	126
Pa1	220321	220447	126
Pa1	220909	221035	126
Pa1	221497	221623	126
Pa1	222085	222211	126
Pa1	222673	222799	126
Pa1	223261	223387	126
Pa1	223849	223975	126
Pa1	224437	224563	126
Pa1	225025	225151	126
Pa1	225613	225739	126
Pa1	226201	226327	126
Pa1	226789	226915	126
Pa1	227377	227503	126
Pa1	227965	228091	126
Pa1	228553	228679	126
Pa1	229141	229267	126
Pa1	229729	229855	126
Pa1	230317	230443	126
Pa1	230905	231031	126
Pa1	231493	231619	126
Pa1	232081	232207	126
Pa1	232669	232795	126
Pa1	233257	233383	126
Pa1	233845	233971	126
Pa1	234433	234559	126
Pa1	235021	235147	126
Pa1	235609	235735	126
Pa1	236197	236323	126
Pa1	236785	236911	126
Pa1	237373	237499	126
Pa1	237961	238087	126
Pa1	238549	238675	126
Pa1	239137	239263	126
Pa1	239725	239851	126
Pa1	240313	240439	126
Pa1	240901	241027	126
Pa1	241489	241615	126
Pa1	242077	242203	126
Pa1	242665	242791	126
Pa1	243253	243379	126
Pa1	243841	243967	126
Pa1	244429	244555	126
Pa1	245017	245143	126
Pa1	245605	245731	126
Pa1	246193	246319	126
Pa1	246781	246907	126
Pa1	247369	247495	126
Pa1	247957	248083	126
Pa1	248545	248671	126
Pa1	249135	249261	126
Pa1	249723	249849	126
Pa1	250311	250437	126
Pa1	250899	251025	126
Pa1	251487	251613	126
Pa1	252075	252201	126
Pa1	252663	252789	126
Pa1	253251	253377	126
Pa1	253839	253965	126
Pa1	254427	254553	126
Pa1	255015	255141	126
Pa1	255603	255729	126
Pa1	256191	256317	126
Pa1	256779	256905	126
Pa1	257367	257493	126
Pa1	257955	258081	126
Pa1	258543	258669	126
Pa1	259131	259257	126
Pa1	259719	259845	126
Pa1	260307	260433	126
Pa1	260895	261021	126
Pa1	261483	261609	126
Pa1	262073	262199	126
Pa1	262558	262588	30
Pa1	263444	263552	108
Pa1	264270	264308	38
Pa1	265124	265697	573
Pa1	269033	269606	573
Pa1	270008	270469	461
Pa1	287676	287702	26
Pa1	289997	291493	1496
Pa1	301903	301966	63
Pa1	305452	305473	21
Pa1	305963	306004	41
Pa1	311889	311921	32
Pa1	313707	313787	80
Pa1	313922	314278	356
Pa1	314280	315932	1652
Pa1	315955	322623	6668
Pa1	324953	325044	91
Pa1	325013	325519	506
Pa1	325463	325736	273
Pa1	325730	327195	1465
Pa1	327196	328499	1303
Pa1	328531	328812	281
Pa1	331198	331221	23
Pa1	332806	333045	239
Pa1	333234	333840	606
Pa1	334543	334638	95
Pa1	334556	336158	1602
Pa1	334799	336742	1943
Pa1	336740	337090	350
Pa1	337091	337354	263
Pa1	337350	337993	643
Pa1	337982	340303	2321
Pa1	342291	342566	275
Pa1	342569	342632	63
Pa1	343105	347913	4808
Pa1	348119	348389	270
Pa1	350207	350826	619
Pa1	352589	352906	317
Pa1	357230	357272	42
Pa1	367288	367537	249
Pa1	367316	369382	2066
Pa1	380685	380708	23
Pa1	382546	384878	2332
Pa1	384877	385015	138
Pa1	386484	386506	22
Pa1	386878	387227	349
Pa1	389831	389927	96
Pa1	390325	390364	39
Pa1	391214	391237	23
Pa1	403241	403304	63
Pa1	403861	405713	1852
Pa1	409620	409683	63
Pa1	409627	409697	70
Pa1	409635	409747	112
Pa1	409684	409700	16
Pa1	409722	409793	71
Pa1	409770	417018	7248
Pa1	422462	422484	22
Pa1	428185	428252	67
